id,datetime,order_id,product_id,quantity,price,product_name
1,2019-08-03 20:25:00,1,6,2,0.8,Plain Papadum
2,2019-08-03 20:25:00,1,240,1,12.95,King Prawn Balti
3,2019-08-03 20:25:00,1,19,1,2.95,Garlic Naan
4,2019-08-03 20:25:00,1,36,1,3.95,Mushroom Rice
5,2019-08-03 20:25:00,1,111,1,8.95,Paneer Tikka Masala
6,2019-08-03 20:25:00,1,3,1,0.5,Mango Chutney
7,2019-08-03 20:17:00,2,11,1,2.6,Plain Naan
8,2019-08-03 20:17:00,2,36,1,3.95,Mushroom Rice
9,2019-08-03 20:17:00,2,55,1,4.95,Tandoori Chicken (1/4)
10,2019-08-03 20:17:00,2,98,1,7.95,Vindaloo - Lamb
11,2019-08-03 20:17:00,2,8,1,1.95,Chapati
12,2019-08-03 20:17:00,2,58,1,4.95,Lamb Tikka
13,2019-08-03 20:17:00,2,66,1,5.95,Saag Paneer
14,2019-08-03 20:09:00,3,54,1,4.95,Aloo Chaat
15,2019-08-03 20:09:00,3,68,1,5.95,Chicken Pakora
16,2019-08-03 20:09:00,3,169,1,9.95,Chicken Chilli Garlic
17,2019-08-03 20:09:00,3,170,1,9.95,Lamb Biryani
18,2019-08-03 20:09:00,3,13,1,2.95,Keema Naan
19,2019-08-03 20:01:00,4,68,1,5.95,Chicken Pakora
20,2019-08-03 20:01:00,4,6,1,0.8,Plain Papadum
21,2019-08-03 20:01:00,4,3,1,0.5,Mango Chutney
22,2019-08-03 20:01:00,4,4,1,0.5,Red Sauce
23,2019-08-03 20:01:00,4,191,1,9.95,Korma - Prawn
24,2019-08-03 20:01:00,4,14,1,2.95,Peshwari Naan
25,2019-08-03 20:01:00,4,15,1,2.95,Pilau Rice
26,2019-08-03 19:44:00,5,165,1,9.95,Chicken Balti
27,2019-08-03 19:44:00,5,34,2,3.95,Special Fried Rice
28,2019-08-03 19:42:00,6,103,1,8.95,Chicken Tikka Masala
29,2019-08-03 19:42:00,6,95,1,7.95,Curry - Lamb
30,2019-08-03 19:42:00,6,15,1,2.95,Pilau Rice
31,2019-08-03 19:42:00,6,14,1,2.95,Peshwari Naan
32,2019-08-03 19:42:00,6,6,1,0.8,Plain Papadum
33,2019-08-03 19:41:00,7,6,2,0.8,Plain Papadum
34,2019-08-03 19:41:00,7,38,1,3.95,Vegetable Rice
35,2019-08-03 19:41:00,7,203,1,9.95,Saag - Prawn
36,2019-08-03 19:41:00,7,136,1,8.95,Tandoori Chicken Masala
37,2019-08-03 19:29:00,8,15,1,2.95,Pilau Rice
38,2019-08-03 19:29:00,8,144,1,8.95,Lamb Tikka Chilli Masala
39,2019-08-03 19:29:00,8,14,1,2.95,Peshwari Naan
40,2019-08-03 19:29:00,8,74,1,5.95,Saag Aloo
41,2019-08-03 19:28:00,9,79,1,5.95,Aloo Gobi
